"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10"
"Gene1",18746.0907773712,18804.0390396555,18917.0020666483,18775.6972952669,18800.490029004,19097.9716659104,18743.4830893952,18858.7308405793,18940.2960986898,18902.283105464
"Gene2",13763.0994106272,13783.6633235908,13517.8445910778,13758.7726295227,13694.8560836636,13700.9595437887,13869.2721600761,13969.1110823337,13464.271877227,13787.5476769267
"Gene3",19989.9072270546,20085.7864612864,19848.0441670505,19911.4081749473,19892.080306521,20187.9735278895,19978.606522231,20213.4157647884,20154.3067344117,19892.8840382637
"Gene4",9994.95361352732,9998.86737230646,10005.5991056558,10032.1127705103,10093.4988580203,9937.3682090305,9893.92069234939,9699.95770158841,9819.93306148995,10151.9748657331
"Gene5",23578.4335679114,23397.9588738854,23308.8606602599,23271.6536675797,23175.758040702,23609.0606491231,22930.6161928568,23312.3006168594,23380.5183715747,23516.6639812096
"Gene6",8015.27681084799,8200.7085312662,8243.71276898986,8279.92274360272,8354.67372873883,8142.58284993711,8136.61811186185,8302.1848344974,8202.21342576556,8298.80985539354
"Gene7",6336.89716057645,6339.72360049134,6418.87025220153,6285.77188707927,6303.11738667823,6482.26796728528,6389.0154536217,6297.7337316283,6465.11127146898,6691.61038278992
"Gene8",13624.039186439,13598.9926961891,13371.5379753003,13508.1289950163,13547.3973789038,13538.0129664536,13596.0576834409,13496.8672283473,13514.4471386559,13743.7455948641
"Gene9",13745.7168826037,13603.7522484417,13536.4654330859,13490.7633852352,13610.7353460489,13618.6952523186,13584.7411074856,13610.6193975557,13693.8092800856,13701.6282082655
"Gene10",13973.6211389121,13887.8975179232,13892.9215515256,14071.3536055815,14281.7219354928,13817.2369557705,13898.3719268183,13915.6820331601,13875.4783300867,14009.9274781674
"Gene11",4502.07475809318,4454.46495322811,4372.35104484124,4432.86132344167,4567.26122460669,4490.52291034515,4415.08127627552,4396.69369167591,4505.39244002816,4356.62246976202
"Gene12",4606.36992623433,4526.33419224269,4575.40689340515,4632.5658359237,4697.89578184355,4704.09366704644,4555.73014886284,4881.00216966922,4664.56913145773,4575.63288007488
"Gene13",4811.09747851141,4894.2475813703,4742.99447147755,4976.98376324777,4978.95801105011,4920.03743215551,4837.02789403748,4865.49051023171,4833.55018431593,4990.06796420537
