"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20"
"Gene1",9706,39508,21334,32436,18997,24144,11594,10942,32841,11220,19765,4146,34530,34774,39211,38844,26146,13618,27888,23182
"Gene2",7126,28960,15245,23769,13838,17321,8579,8105,23346,8184,14510,3085,25082,25178,28304,28049,18736,9952,20140,16896
"Gene3",10350,42201,22384,34398,20100,25522,12358,11728,34946,11808,21277,4461,36762,36685,41847,41369,27715,14421,29681,24701
"Gene4",5175,21008,11284,17331,10199,12563,6120,5628,17027,6026,10850,2105,18444,18095,20688,20409,13671,7170,14695,12429
"Gene5",12208,49160,26287,40203,23418,29847,14184,13526,40540,13959,24638,5143,43036,42830,48454,48349,32403,17085,34134,29207
"Gene6",4150,17230,9297,14304,8442,10294,5033,4817,14222,4926,8597,1755,15151,15189,17162,16954,11406,5824,12106,10086
"Gene7",3281,13320,7239,10859,6369,8195,3952,3654,11210,3972,6845,1379,11825,11789,13234,13168,8712,4615,9443,7779
"Gene8",7054,28572,15080,23336,13689,17115,8410,7831,23433,8158,14558,2904,24858,24625,28244,27883,19109,9762,19903,16778
"Gene9",7117,28582,15266,23306,13753,17217,8403,7897,23744,8133,14542,2965,24944,25038,28318,27946,19055,10012,19914,16804
"Gene10",7235,29179,15668,24309,14431,17468,8597,8074,24059,8316,14935,3112,25896,25600,29432,29003,19182,10190,20596,17333
"Gene11",2331,9359,4931,7658,4615,5677,2731,2551,7812,2586,4722,973,8267,8244,9273,9230,6218,3235,6540,5580
"Gene12",2385,9510,5160,8003,4747,5947,2818,2832,8088,2716,4977,1040,8401,8630,9777,9578,6470,3294,6879,5694
"Gene13",2491,10283,5349,8598,5031,6220,2992,2823,8381,2962,5324,1029,8908,9039,10197,9899,6734,3514,7039,5969
"Gene14",1133,4962,2648,4037,2263,2831,1420,1347,3988,1378,2395,559,4149,4192,4713,4741,3189,1708,3396,2915
"Gene15",5471,22309,11804,18178,10625,13173,6528,6123,18019,6244,11128,2345,19296,19292,21978,21484,14459,7606,15423,13080
"Gene16",5968,24114,12819,19764,11725,14444,7136,6593,19962,6875,12111,2572,21349,20938,23699,23595,15922,8144,17133,14003
"Gene17",2172,9160,4725,7524,4512,5503,2695,2532,7562,2507,4552,968,7891,7956,9091,8961,5931,3179,6337,5404
"Gene18",5687,22747,12243,18623,11053,13719,6696,6341,18710,6377,11617,2419,19828,19736,22364,22206,15148,7659,15935,13371
"Gene19",1474,6017,3170,4949,2822,3517,1677,1663,4787,1601,2962,593,5143,5187,5829,5804,3951,2110,4049,3365
"Gene20",14452,58941,31376,48066,28103,35587,17227,15975,48380,16629,29996,6192,51723,51075,57887,57643,38370,20276,40921,34649
"Gene21",815,3375,1802,2738,1698,2041,1044,953,2790,969,1784,392,3037,3033,3349,3362,2293,1172,2356,2060
"Gene22",5429,21699,11780,18271,10462,13333,6615,6122,18239,6180,11287,2219,19228,19034,21534,21597,14384,7601,15242,13026
"Gene23",3294,13506,7404,10989,6553,8154,4022,3712,11138,3920,6794,1435,11716,11630,13408,13306,8895,4671,9425,7904
"Gene24",2230,9016,4800,7494,4289,5532,2705,2490,7461,2558,4549,940,7902,7894,9070,8775,5931,3132,6271,5366
"Gene25",13892,56569,30464,46425,27224,33910,16498,15520,46641,16110,28582,5930,49811,49678,55917,55362,37154,19604,39562,33851
"Gene26",4574,19052,10081,15656,9304,11657,5714,5289,15742,5418,9671,2042,16589,16742,18929,18791,12771,6634,13386,11277
"Gene27",12975,53052,28346,43336,25396,31784,15680,14605,43906,15060,26863,5350,46658,46221,52720,51928,34831,18313,37204,31401
"Gene28",3688,14514,7872,11909,7125,8948,4382,4053,12274,4089,7560,1583,13098,13010,14552,14585,9814,5025,10340,8626
"Gene29",6344,25622,13942,21202,12166,15337,7561,7082,21229,7392,13144,2683,22480,22546,25482,25384,16825,8801,18075,15301
"Gene30",9906,40197,21318,32745,19531,24173,11690,11112,33254,11378,20403,4129,35159,35466,39982,39220,26613,13792,28216,23525
"Gene31",1806,7327,3945,6248,3545,4501,2142,2036,6098,2138,3910,774,6515,6494,7446,7400,4880,2569,5258,4441
"Gene32",6674,26929,14386,22225,12952,16295,7881,7621,22380,7592,13784,2949,23574,23533,26851,26634,17788,9643,18844,16087
"Gene33",4420,17571,9463,14442,8547,10556,5258,4840,14678,5006,8935,1926,15467,15335,17586,17169,11672,6018,12137,10547
"Gene34",2010,8286,4356,6656,3921,4939,2438,2324,6790,2241,4141,868,7175,7081,8084,8052,5341,2815,5743,4817
"Gene35",815,3451,1881,2904,1619,2043,989,955,2874,989,1707,362,3015,3081,3468,3481,2246,1257,2461,2109
"Gene36",9043,37379,20150,30805,18306,22541,10974,10372,30895,10577,19140,3910,32836,32674,37161,36902,24708,13036,26261,22081
"Gene37",7092,28506,15387,23486,13546,17314,8464,7840,24004,8242,14499,2979,25347,25048,28466,27851,19282,10026,20460,17023
"Gene38",3517,14159,7565,11396,6803,8547,4006,3862,11364,3886,7028,1422,12285,12248,13729,13504,9269,4793,9642,8159
"Gene39",1837,7394,3919,6046,3630,4483,2164,1966,6164,2086,3697,784,6510,6249,7391,7318,5009,2485,5140,4416
"Gene40",6213,25557,13723,21128,12249,15398,7413,6954,20993,7150,12781,2766,22573,22373,25008,25044,16868,8847,17750,14944
"Gene41",7941,32422,17203,26149,15652,19450,9377,9086,26724,9117,16067,3357,28344,28402,31753,31610,21247,11252,22162,18948
"Gene42",8405,33547,18294,27868,16029,20533,10077,9419,27830,9625,17101,3556,30071,29747,33356,33426,22170,11542,23585,19654
"Gene43",6660,27198,14482,22554,13125,16519,7894,7482,22415,7606,13600,2809,23959,23951,26801,26747,17950,9397,19124,16112
"Gene44",18261,73996,39559,60679,35329,44601,21653,20373,60464,21064,36969,7892,64958,64553,72920,72201,48504,25543,51229,42987
"Gene45",6240,24686,13492,20293,11969,15173,7248,6902,20549,6916,12455,2664,22064,21651,24585,24307,16053,8654,17316,14442
"Gene46",6109,24422,13400,20251,11889,14670,7276,6781,20214,6843,12449,2643,21627,21403,24643,24245,16212,8426,17320,14431
"Gene47",12993,53203,28402,43700,25476,31780,15685,14623,43923,14931,27063,5544,46494,46387,52747,52044,34870,18446,37269,31037
"Gene48",1952,7622,4097,6312,3689,4634,2237,2051,6420,2189,3682,790,6692,6662,7673,7587,4928,2640,5443,4581
"Gene49",13603,55026,29387,44939,26370,33090,16058,15108,45037,15353,27676,5777,48205,47574,54192,54097,36140,18895,38334,32420
"Gene50",279,1124,599,885,564,665,330,322,907,308,532,103,952,993,1095,1091,750,393,721,646
"Gene51",11589,47387,25344,38856,22699,28458,13907,12831,38888,13182,23923,5021,41603,41403,46476,46348,30931,16322,33491,27884
"Gene52",5413,21921,11701,18187,10732,13013,6356,6242,18290,6304,10915,2335,18981,19131,21863,21751,14440,7629,15306,12924
"Gene53",7796,31752,16880,25638,15187,18933,9095,8655,25999,8756,15764,3378,27483,27306,30741,30601,20574,10882,21667,18530
"Gene54",3744,15456,8270,12803,7295,9332,4487,4229,12762,4339,7733,1656,13554,13304,15172,15231,10221,5198,10648,9108
"Gene55",8224,33511,17742,27291,16003,20130,9764,9307,27467,9303,16521,3417,29152,29218,32766,32698,22078,11468,23621,19459
"Gene56",4968,20174,10586,16505,9654,12095,5919,5684,16262,5693,10191,2131,17706,17590,19941,20068,13384,6853,14144,12025
"Gene57",3156,12851,7029,10620,6322,7777,3769,3534,10674,3543,6428,1331,11200,11114,12549,12531,8639,4440,9027,7697
"Gene58",1481,6369,3411,5210,3189,3825,1832,1817,5286,1820,3263,687,5719,5533,6387,6227,4231,2263,4565,3808
"Gene59",11549,46230,24664,38144,22302,27725,13538,12614,38652,13123,23398,4730,40723,40385,45693,45635,30529,15990,32384,27240
"Gene60",8977,37439,19776,30635,17864,22648,10878,10198,30632,10458,18644,3958,32588,32342,36758,36327,24385,12798,26153,22070
"Gene61",4887,20117,10776,16654,9622,12146,5829,5615,16496,5603,10042,2148,17501,17699,20085,19848,13112,6898,13934,11978
"Gene62",2674,10839,5818,8944,5355,6595,3093,3025,8998,3041,5580,1126,9655,9322,10795,10700,7226,3745,7455,6479
"Gene63",5733,23310,12599,19073,11128,13924,6890,6403,19501,6579,11809,2454,20722,20622,23503,23207,15385,8077,16566,13804
"Gene64",3008,12209,6340,9823,5882,7149,3598,3145,9964,3373,5988,1302,10487,10304,11980,11841,7878,4090,8513,7206
